ID,ITEM CODE,ITEM DESC,Prefix,Box Amount,Start,END,PCS,箱规(mm),净重,毛重/箱（KG),单位
1,AP-MB-6-PINK,MACARON BOX ,A,11,1,11,500,603*312*165,13.51,14.56,1
2,AP-MB-6-RED,MACARON BOX ,A,19,12,30,600,603*312*165,14.75,15.8,1
3,AP-MB-6-BLUE,MACARON BOX ,C,30,1,30,1000,603*312*165,13.37,14.42,1
4,AP-CCB-R-O, RECTANGLE CARRY BOX,D,30,1,30,200,415*415*173,11.06,12.11,1
5,AP-CCB-M-O,AP CARRY CAKE BOX -M-6 ,E,30,1,30,100,415*415*173,13.8,14.85,1
6,AP-CCB-SINGLE-PINK,AP CAKE BOX  Single,F,30,1,30,3000,380*297*265,14.65,15.7,1
7,ONE65-PB-L,ONE65 Paper bag Large,G,30,1,30,400,380*297*265,13.35,14.4,1
8,ONE65-PB-S,ONE65 Paper bag Small,H,30,1,30,800,405*45*610,9.2,10.25,1
9,ONE65-PB-XL 25*30*30INCH,ONE65 Paper bag X Large,H,102,79,180,100,63*34*30,19.6,20.8,1
10,CB-40*60cm,Cake Boards 40x60cm,P,12,18,29,35,40.5*4.5*61,9.8,10.25,1
11,AP-CB-6-PINK & BLACK,AP CHOCOLATE BOX 6PCS,A,40,1,40,100,49*42*27.5,9.3,10,2
12,AP-CB-6-BLACK,AP CHOCOLATE BOX 6PCS,A,40,41,80,100,49*42*27.5,9.3,10,2
13,AP-CB-12-PINK & BLACK,AP CHOCOLATE BOX 12PCS,A,25,81,105,80,60*33*35,10.2,11,2
14,AP-CB-12-ORANGE & BALCK,AP CHOCOLATE BOX 12PCS,A,25,106,130,80,60*33*35,10.2,11,2
15,AP-CB-12-RED & BLACK,AP CHOCOLATE BOX 12PCS,A,25,131,155,80,60*33*35,10.2,11,2
16,O-CB-4-Black & ORANGE,O' logo CHOCOLATE BOX 4PCS,N,25,1,25,120,36*42*27,8.3,9,2
17,ONE65-CCB-M,ONE65 Carry cake box Medium,K,98,1,98,200,65*61*13,17.1,18.5,3
